Date,Ticker,Asset,Open,High,Low,Close,Adj_Close,Volume,Dividends,Stock_Splits,Log_Return,Squared_Return,Target_Date,Target_Squared_Return,Role,Forecast_Horizon,Split
2025-09-11,JPM,JPMorgan Chase,301.239990234375,305.7300109863281,300.7900085449219,305.55999755859375,299.8241271972656,7942500,0.0,0.0,1.656524964214988,2.744074957067467,2025-09-12,0.1943440500631938,Stock,1,Test
2025-09-12,JPM,JPMorgan Chase,305.0,307.54998779296875,303.70001220703125,306.9100036621094,301.1488037109375,6846700,0.0,0.0,0.4408447006182493,0.1943440500631938,2025-09-15,0.4177074770970135,Stock,1,Test
2025-09-15,JPM,JPMorgan Chase,307.1700134277344,309.95001220703125,307.1700134277344,308.8999938964844,303.1014404296875,7122000,0.0,0.0,0.6463029298223965,0.4177074770970135,2025-09-16,0.0088067206104866,Stock,1,Test
2025-09-16,JPM,JPMorgan Chase,310.0,310.8999938964844,307.1300048828125,309.19000244140625,303.3860168457031,10525600,0.0,0.0,0.0938441293341608,0.0088067206104866,2025-09-17,0.6798941428916553,Stock,1,Test
2025-09-17,JPM,JPMorgan Chase,310.3900146484375,312.9100036621094,308.7699890136719,311.75,305.89794921875,8657800,0.0,0.0,0.8245569373255284,0.6798941428916553,2025-09-18,0.2243189282752112,Stock,1,Test
2025-09-18,JPM,JPMorgan Chase,311.7900085449219,313.44000244140625,309.6099853515625,313.2300109863281,307.3501892089844,8050700,0.0,0.0,0.4736231922902543,0.2243189282752112,2025-09-19,0.2436547569622388,Stock,1,Test
2025-09-19,JPM,JPMorgan Chase,313.6000061035156,315.79998779296875,309.1199951171875,314.7799987792969,308.8710632324219,23568600,0.0,0.0,0.4936139756553078,0.2436547569622388,2025-09-22,0.5567331456600703,Stock,1,Test
2025-09-22,JPM,JPMorgan Chase,309.79998779296875,313.70001220703125,309.55999755859375,312.44000244140625,306.57501220703125,7520200,0.0,0.0,-0.7461455257924356,0.5567331456600703,2025-09-23,0.0092090384667723,Stock,1,Test
2025-09-23,JPM,JPMorgan Chase,311.82000732421875,316.30999755859375,310.5799865722656,312.739990234375,306.8693542480469,8584400,0.0,0.0,0.0959637351647608,0.0092090384667723,2025-09-24,0.0471789819022414,Stock,1,Test
2025-09-24,JPM,JPMorgan Chase,314.04998779296875,316.5799865722656,311.6700134277344,313.4200134277344,307.53662109375,7310500,0.0,0.0,0.2172072326195457,0.0471789819022414,2025-09-25,9.16894766426275e-05,Stock,1,Test
