Forecast_Generated_At,Ticker,Asset,Role,Latest_Data_Date,Latest_Adj_Close,Latest_Log_Return_Pct,Latest_Squared_Return,Deployment_Model_Training_Through,New_Observations_Since_Deployment,Model,Forecast_Horizon,Forecast_Variance,Forecast_Daily_Volatility_Pct,Forecast_Annualised_Volatility_Pct,Research_Test_QLIKE,Research_QLIKE_Winner,Research_Best_Model,Research_Best_QLIKE,Recent_Research_Overlap_Max_Abs_Return_Diff,Research_Overlap_Status
2026-09-01T18:08:37.212699-04:00,JPM,JPMorgan Chase,Stock,2026-09-01 00:00:00,354.95001220703125,-0.3009909314306197,0.090595540803472,2026-07-31 00:00:00,21,LSTM,Next trading session,1.591705322265625,1.261628044340179,20.027724314333305,1.8457373249978872,False,Random Forest,1.8419772813034336,0.0,OK
2026-09-01T18:08:37.212699-04:00,JPM,JPMorgan Chase,Stock,2026-09-01 00:00:00,354.95001220703125,-0.3009909314306197,0.090595540803472,2026-07-31 00:00:00,21,Random Forest,Next trading session,1.5526600715567522,1.2460578122851091,19.78055454309362,1.8419772813034336,True,Random Forest,1.8419772813034336,0.0,OK
2026-09-01T18:08:42.406695-04:00,TSLA,Tesla,Stock,2026-09-01 00:00:00,356.0899963378906,-3.276359494263283,10.734531535649158,2026-07-31 00:00:00,22,GARCH,Next trading session,11.635501768329222,3.41108513061888,54.149297738927,3.6142817411834622,True,GARCH,3.6142817411834622,3.4638958368304884e-14,OK
2026-09-01T18:08:42.406695-04:00,TSLA,Tesla,Stock,2026-09-01 00:00:00,356.0899963378906,-3.276359494263283,10.734531535649158,2026-07-31 00:00:00,22,Historical Variance,Next trading session,6.977716331698554,2.641536736768685,41.933095707186176,3.736281650096755,False,GARCH,3.6142817411834622,3.4638958368304884e-14,OK
2026-09-01T18:08:42.406695-04:00,TSLA,Tesla,Stock,2026-09-01 00:00:00,356.0899963378906,-3.276359494263283,10.734531535649158,2026-07-31 00:00:00,22,LSTM,Next trading session,10.320667266845703,3.2125795347112738,50.99811909516976,3.698278624177137,False,GARCH,3.6142817411834622,3.4638958368304884e-14,OK
2026-09-01T18:08:42.406695-04:00,TSLA,Tesla,Stock,2026-09-01 00:00:00,356.0899963378906,-3.276359494263283,10.734531535649158,2026-07-31 00:00:00,22,Random Forest,Next trading session,12.459319805418776,3.529776169308583,56.0334595662764,3.6555593887072257,False,GARCH,3.6142817411834622,3.4638958368304884e-14,OK
2026-09-01T18:08:47.921051-04:00,WMT,Walmart,Stock,2026-09-01 00:00:00,105.91999816894533,0.9962560864886436,0.992526189865668,2026-07-31 00:00:00,22,GARCH,Next trading session,3.061477591815638,1.7497078589912196,27.775751171436223,1.7337850218180075,True,GARCH,1.7337850218180075,2.0890296705960987e-06,OK
2026-09-01T18:08:47.921051-04:00,WMT,Walmart,Stock,2026-09-01 00:00:00,105.91999816894533,0.9962560864886436,0.992526189865668,2026-07-31 00:00:00,22,Historical Variance,Next trading session,5.853635916743643,2.4194288410167477,38.40724216888526,1.9687584969076513,False,GARCH,1.7337850218180075,2.0890296705960987e-06,OK
2026-09-01T18:08:47.921051-04:00,WMT,Walmart,Stock,2026-09-01 00:00:00,105.91999816894533,0.9962560864886436,0.992526189865668,2026-07-31 00:00:00,22,LSTM,Next trading session,1.453623652458191,1.2056631587878062,19.139309298390685,1.805570177677421,False,GARCH,1.7337850218180075,2.0890296705960987e-06,OK
2026-09-01T18:08:47.921051-04:00,WMT,Walmart,Stock,2026-09-01 00:00:00,105.91999816894533,0.9962560864886436,0.992526189865668,2026-07-31 00:00:00,22,Random Forest,Next trading session,1.18257873444462,1.0874643600801914,17.262961538509096,1.863368772353499,False,GARCH,1.7337850218180075,2.0890296705960987e-06,OK
2026-09-01T18:29:58.860107-04:00,XOM,Exxon Mobil,Stock,2026-09-01 00:00:00,164.5500030517578,2.212075515151976,4.893278084734881,2026-07-31 00:00:00,21,GARCH,Next trading session,2.9260197358462396,1.7105612341703058,27.154317767774103,1.7377641428914004,False,Random Forest,1.737343206575383,0.0,OK
2026-09-01T18:29:58.860107-04:00,XOM,Exxon Mobil,Stock,2026-09-01 00:00:00,164.5500030517578,2.212075515151976,4.893278084734881,2026-07-31 00:00:00,21,Historical Variance,Next trading session,2.898943664330879,1.7026284575123485,27.028388842315067,1.7611479756371726,False,Random Forest,1.737343206575383,0.0,OK
2026-09-01T18:29:58.860107-04:00,XOM,Exxon Mobil,Stock,2026-09-01 00:00:00,164.5500030517578,2.212075515151976,4.893278084734881,2026-07-31 00:00:00,21,LSTM,Next trading session,2.4459362030029297,1.5639489131691386,24.82691932473174,1.8225911621361244,False,Random Forest,1.737343206575383,0.0,OK
2026-09-01T18:29:58.860107-04:00,XOM,Exxon Mobil,Stock,2026-09-01 00:00:00,164.5500030517578,2.212075515151976,4.893278084734881,2026-07-31 00:00:00,21,Random Forest,Next trading session,3.0893391388624316,1.757651597690063,27.901854113899542,1.737343206575383,True,Random Forest,1.737343206575383,0.0,OK
2026-09-01T19:13:01.158703-04:00,^GSPC,S&P 500,Benchmark,2026-09-01 00:00:00,7631.47021484375,-0.7138209258204404,0.5095403141391507,2026-07-31 00:00:00,21,GARCH,Next trading session,0.49085361562218754,0.7006094601289563,11.121830386082648,0.7363238980359751,False,LSTM,0.6319534481503737,0.0,OK
2026-09-01T19:13:01.158703-04:00,^GSPC,S&P 500,Benchmark,2026-09-01 00:00:00,7631.47021484375,-0.7138209258204404,0.5095403141391507,2026-07-31 00:00:00,21,Historical Variance,Next trading session,0.47432376740647825,0.6887116721869017,10.93295885780389,0.868669142617824,False,LSTM,0.6319534481503737,0.0,OK
2026-09-01T19:13:01.158703-04:00,^GSPC,S&P 500,Benchmark,2026-09-01 00:00:00,7631.47021484375,-0.7138209258204404,0.5095403141391507,2026-07-31 00:00:00,21,LSTM,Next trading session,0.6826800107955933,0.8262445223997514,13.116225170394474,0.6319534481503737,True,LSTM,0.6319534481503737,0.0,OK
2026-09-01T19:13:01.158703-04:00,^GSPC,S&P 500,Benchmark,2026-09-01 00:00:00,7631.47021484375,-0.7138209258204404,0.5095403141391507,2026-07-31 00:00:00,21,Random Forest,Next trading session,0.5093270911636738,0.7136715569249441,11.329184744422072,0.711634521154872,False,LSTM,0.6319534481503737,0.0,OK
