Ticker,Asset,Role,Loss_Function,Model_1,Model_2,Observations,Mean_Loss_Model_1,Mean_Loss_Model_2,Mean_Loss_Difference,DM_Statistic,Raw_p_value,Lower_Mean_Loss_Model,Holm_Adjusted_p,Significant_Raw_5pct,Significant_Holm_5pct,Preferred_Model_if_Holm_Significant
JPM,JPMorgan Chase,Stock,QLIKE,GARCH,Random Forest,647,1.8624348384044023,1.8419772813034336,0.02045755710096886,0.8606867602007525,0.3897299084924904,Random Forest,1.0,False,False,No significant difference
JPM,JPMorgan Chase,Stock,QLIKE,GARCH,LSTM,647,1.8624348384044023,1.8457373249978872,0.016697513406514916,0.43080301954537326,0.6667553057123218,LSTM,1.0,False,False,No significant difference
JPM,JPMorgan Chase,Stock,QLIKE,Random Forest,LSTM,647,1.8419772813034336,1.8457373249978872,-0.0037600436944539486,-0.0924257881946212,0.9263884057603836,Random Forest,1.0,False,False,No significant difference
JPM,JPMorgan Chase,Stock,Squared_Error,Historical Variance,GARCH,647,52.094819555853505,49.618847196513926,2.4759723593395755,3.2268388104914143,0.001314906504140192,GARCH,0.007889439024841152,True,True,GARCH
JPM,JPMorgan Chase,Stock,Squared_Error,Historical Variance,Random Forest,647,52.094819555853505,50.26001238618603,1.8348071696674808,1.0388796993773832,0.29924936773999533,Random Forest,1.0,False,False,No significant difference
JPM,JPMorgan Chase,Stock,Squared_Error,Historical Variance,LSTM,647,52.094819555853505,49.302066051310035,2.792753504543463,2.5019877025699326,0.012595958440415772,LSTM,0.06297979220207886,True,False,No significant difference
JPM,JPMorgan Chase,Stock,Squared_Error,GARCH,Random Forest,647,49.618847196513926,50.26001238618603,-0.641165189672095,-0.48144463803398163,0.6303635583183221,GARCH,1.0,False,False,No significant difference
JPM,JPMorgan Chase,Stock,Squared_Error,GARCH,LSTM,647,49.618847196513926,49.302066051310035,0.316781145203887,0.21096765507100304,0.8329790417085281,LSTM,1.0,False,False,No significant difference
JPM,JPMorgan Chase,Stock,Squared_Error,Random Forest,LSTM,647,50.26001238618603,49.302066051310035,0.9579463348759819,0.4386594953569899,0.6610549440044168,LSTM,1.0,False,False,No significant difference
JPM,JPMorgan Chase,Stock,Absolute_Error,Historical Variance,GARCH,647,2.828832599059572,2.73835230321987,0.09048029583970232,2.000270137786568,0.045889215383760854,GARCH,0.13766764615128257,True,False,No significant difference
JPM,JPMorgan Chase,Stock,Absolute_Error,Historical Variance,Random Forest,647,2.828832599059572,2.7496215371023935,0.07921106195717839,1.111048825729225,0.2669606819204892,Random Forest,0.5339213638409784,False,False,No significant difference
JPM,JPMorgan Chase,Stock,Absolute_Error,Historical Variance,LSTM,647,2.828832599059572,2.3526666889422567,0.47616591011731557,6.940065533172991,9.554385881747685e-12,LSTM,5.732631529048611e-11,True,True,LSTM
JPM,JPMorgan Chase,Stock,Absolute_Error,GARCH,Random Forest,647,2.73835230321987,2.7496215371023935,-0.011269233882523962,-0.24533989627743144,0.8062711814189738,GARCH,0.8062711814189738,False,False,No significant difference
JPM,JPMorgan Chase,Stock,Absolute_Error,GARCH,LSTM,647,2.73835230321987,2.3526666889422567,0.38568561427761333,6.451386432575492,2.174159785531375e-10,LSTM,1.0870798927656875e-09,True,True,LSTM
JPM,JPMorgan Chase,Stock,Absolute_Error,Random Forest,LSTM,647,2.7496215371023935,2.3526666889422567,0.39695484816013715,5.57250924520154,3.6893980527950825e-08,LSTM,1.475759221118033e-07,True,True,LSTM
