Date,Target_Date,Ticker,Asset,Role,Split,Log_Return,Squared_Return,Target_Squared_Return
2011-03-15,2011-03-16,TSLA,Tesla,Stock,Train,-1.2987183462619665,1.686669342917417,0.32271558513052
2011-03-16,2011-03-17,TSLA,Tesla,Stock,Train,-0.5680806149927315,0.32271558513052,0.0019174283583073
2011-03-17,2011-03-18,TSLA,Tesla,Stock,Train,-0.0437884500560062,0.0019174283583073,0.4296183307786764
2011-03-18,2011-03-21,TSLA,Tesla,Stock,Train,0.6554527677710091,0.4296183307786764,1.0137065866761574
2011-03-21,2011-03-22,TSLA,Tesla,Stock,Train,-1.0068299690991311,1.0137065866761574,5.781098192817487
2011-03-22,2011-03-23,TSLA,Tesla,Stock,Train,-2.4043914391832057,5.781098192817487,0.0081237582184397
2011-03-23,2011-03-24,TSLA,Tesla,Stock,Train,0.0901318934586404,0.0081237582184397,0.2903526024857193
2011-03-24,2011-03-25,TSLA,Tesla,Stock,Train,0.5388437644491392,0.2903526024857193,3.4722869091966975
2011-03-25,2011-03-28,TSLA,Tesla,Stock,Train,1.8634073385056469,3.4722869091966975,4.726158845642643
2011-03-28,2011-03-29,TSLA,Tesla,Stock,Train,2.173973055408609,4.726158845642643,8.071286917382196
2011-03-29,2011-03-30,TSLA,Tesla,Stock,Train,2.84100104142575,8.071286917382196,0.7775692602308368
2011-03-30,2011-03-31,TSLA,Tesla,Stock,Train,-0.8817988774266141,0.7775692602308368,247.5547601159164
2011-03-31,2011-04-01,TSLA,Tesla,Stock,Train,15.73387301702656,247.5547601159164,16.057422603797104
2011-04-01,2011-04-04,TSLA,Tesla,Stock,Train,-4.007171396858026,16.057422603797104,10.00300675543699
2011-04-04,2011-04-05,TSLA,Tesla,Stock,Train,-3.1627530342151267,10.00300675543699,10.97394191120082
2011-04-05,2011-04-06,TSLA,Tesla,Stock,Train,3.31269405638384,10.97394191120082,0.6235041170709086
2011-04-06,2011-04-07,TSLA,Tesla,Stock,Train,-0.7896227688402283,0.6235041170709086,7.794790056412508
2011-04-07,2011-04-08,TSLA,Tesla,Stock,Train,2.7919151234255866,7.794790056412508,7.794790056412491
2011-04-08,2011-04-11,TSLA,Tesla,Stock,Train,-2.7919151234255835,7.794790056412491,22.230477758917715
2011-04-11,2011-04-12,TSLA,Tesla,Stock,Train,-4.71492075849825,22.230477758917715,6.170972323821392
2011-04-12,2011-04-13,TSLA,Tesla,Stock,Train,-2.484144183380142,6.170972323821392,1.275813111115326
2011-04-13,2011-04-14,TSLA,Tesla,Stock,Train,1.1295189733312698,1.275813111115326,0.7036425859060059
2011-04-14,2011-04-15,TSLA,Tesla,Stock,Train,0.8388340633915661,0.7036425859060059,3.010362012557462
2011-04-15,2011-04-18,TSLA,Tesla,Stock,Train,1.7350394844375912,3.010362012557462,4.724240015494889
2011-04-18,2011-04-19,TSLA,Tesla,Stock,Train,-2.173531691854271,4.724240015494889,0.2683189224461422
2011-04-19,2011-04-20,TSLA,Tesla,Stock,Train,0.5179950988630513,0.2683189224461422,5.372948967870488
2011-04-20,2011-04-21,TSLA,Tesla,Stock,Train,2.3179622447034136,5.372948967870488,14.232456137335918
2011-04-21,2011-04-25,TSLA,Tesla,Stock,Train,3.7725927606005816,14.232456137335918,1.7360202913277885
2011-04-25,2011-04-26,TSLA,Tesla,Stock,Train,-1.317581227601467,1.7360202913277885,4.102961121145347
2011-04-26,2011-04-27,TSLA,Tesla,Stock,Train,2.0255767379058605,4.102961121145347,0.3085287995758105
2011-04-27,2011-04-28,TSLA,Tesla,Stock,Train,0.5554536880567187,0.3085287995758105,4.49102680836577
2011-04-28,2011-04-29,TSLA,Tesla,Stock,Train,2.11920428660518,4.49102680836577,0.0471552319954325
2011-04-29,2011-05-02,TSLA,Tesla,Stock,Train,-0.2171525546601571,0.0471552319954325,0.2969813424283808
2011-05-02,2011-05-03,TSLA,Tesla,Stock,Train,-0.5449599457101236,0.2969813424283808,4.5607775867064975
2011-05-03,2011-05-04,TSLA,Tesla,Stock,Train,-2.1355977118143055,4.5607775867064975,0.4517776622662927
2011-05-04,2011-05-05,TSLA,Tesla,Stock,Train,-0.6721440785027364,0.4517776622662927,0.8855944996963406
2011-05-05,2011-05-06,TSLA,Tesla,Stock,Train,-0.9410603060890096,0.8855944996963406,6.448184265531583
2011-05-06,2011-05-09,TSLA,Tesla,Stock,Train,2.539327522304199,6.448184265531583,8.244809210425954
2011-05-09,2011-05-10,TSLA,Tesla,Stock,Train,2.8713775806093413,8.244809210425954,2.230919285339087
2011-05-10,2011-05-11,TSLA,Tesla,Stock,Train,1.4936262200895802,2.230919285339087,20.6981300059266
2011-05-11,2011-05-12,TSLA,Tesla,Stock,Train,-4.5495197555265765,20.6981300059266,4.806032641974562
2011-05-12,2011-05-13,TSLA,Tesla,Stock,Train,2.192266553586621,4.806032641974562,0.1889003109346919
2011-05-13,2011-05-16,TSLA,Tesla,Stock,Train,-0.4346266339453807,0.1889003109346919,12.314262680051163
2011-05-16,2011-05-17,TSLA,Tesla,Stock,Train,-3.509168374423086,12.314262680051163,5.9311341890752045
2011-05-17,2011-05-18,TSLA,Tesla,Stock,Train,-2.435391999057894,5.9311341890752045,2.223496523084316
2011-05-18,2011-05-19,TSLA,Tesla,Stock,Train,1.491139337246629,2.223496523084316,46.04097524183871
2011-05-19,2011-05-20,TSLA,Tesla,Stock,Train,6.785350045637934,46.04097524183871,0.6706395201103184
2011-05-20,2011-05-23,TSLA,Tesla,Stock,Train,-0.8189258330949869,0.6706395201103184,17.62727306834626
2011-05-23,2011-05-24,TSLA,Tesla,Stock,Train,-4.198484615709132,17.62727306834626,0.1395565178097988
2011-05-24,2011-05-25,TSLA,Tesla,Stock,Train,-0.3735726406066145,0.1395565178097988,65.92435367660796
2011-05-25,2011-05-26,TSLA,Tesla,Stock,Train,8.119381360461396,65.92435367660796,2.926129070431967
2011-05-26,2011-05-27,TSLA,Tesla,Stock,Train,1.710593192559811,2.926129070431967,0.0562575938084093
2011-05-27,2011-05-31,TSLA,Tesla,Stock,Train,0.2371868331261441,0.0562575938084093,3.908219334166873
2011-05-31,2011-06-01,TSLA,Tesla,Stock,Train,1.976921681343718,3.908219334166873,30.52293814598933
2011-06-01,2011-06-02,TSLA,Tesla,Stock,Train,-5.524756840440069,30.52293814598933,0.7022365909982861
2011-06-02,2011-06-03,TSLA,Tesla,Stock,Train,0.8379955793429259,0.7022365909982861,21.65613500935283
2011-06-03,2011-06-06,TSLA,Tesla,Stock,Train,4.653615262282952,21.65613500935283,23.64345515853727
2011-06-06,2011-06-07,TSLA,Tesla,Stock,Train,-4.862453615052515,23.64345515853727,1.337472577259265
