Date,Target_Date,Ticker,Asset,Role,Split,Log_Return,Squared_Return,Target_Squared_Return
2022-08-26,2022-08-29,^GSPC,S&P 500,Benchmark,Validation,-3.4268576317039523,11.74335322796762,0.4473837589530803
2022-08-29,2022-08-30,^GSPC,S&P 500,Benchmark,Validation,-0.6688675197324806,0.4473837589530803,1.2297515813563669
2022-08-30,2022-08-31,^GSPC,S&P 500,Benchmark,Validation,-1.1089416492117008,1.2297515813563669,0.6158699498370489
2022-08-31,2022-09-01,^GSPC,S&P 500,Benchmark,Validation,-0.7847738208153028,0.6158699498370489,0.0895058162826565
2022-09-01,2022-09-02,^GSPC,S&P 500,Benchmark,Validation,0.2991752267194871,0.0895058162826565,1.1652236520213248
2022-09-02,2022-09-06,^GSPC,S&P 500,Benchmark,Validation,-1.0794552570724387,1.1652236520213248,0.1683842246942317
2022-09-06,2022-09-07,^GSPC,S&P 500,Benchmark,Validation,-0.4103464690895143,0.1683842246942317,3.303251240381769
2022-09-07,2022-09-08,^GSPC,S&P 500,Benchmark,Validation,1.8174848666169876,3.303251240381769,0.4341448455156749
2022-09-08,2022-09-09,^GSPC,S&P 500,Benchmark,Validation,0.6588966880442448,0.4341448455156749,2.2970479011069407
2022-09-09,2022-09-12,^GSPC,S&P 500,Benchmark,Validation,1.515601498121106,2.2970479011069407,1.1085250207144348
2022-09-12,2022-09-13,^GSPC,S&P 500,Benchmark,Validation,1.0528651483995637,1.1085250207144348,19.535660127270223
2022-09-13,2022-09-14,^GSPC,S&P 500,Benchmark,Validation,-4.4199163031974065,19.535660127270223,0.1143311583471454
2022-09-14,2022-09-15,^GSPC,S&P 500,Benchmark,Validation,0.3381289078844715,0.1143311583471454,1.29556119709831
2022-09-15,2022-09-16,^GSPC,S&P 500,Benchmark,Validation,-1.1382272168149512,1.29556119709831,0.5195598156843796
2022-09-16,2022-09-19,^GSPC,S&P 500,Benchmark,Validation,-0.7208049775663176,0.5195598156843796,0.4669942459264879
2022-09-19,2022-09-20,^GSPC,S&P 500,Benchmark,Validation,0.6833697724705768,0.4669942459264879,1.285074973213688
2022-09-20,2022-09-21,^GSPC,S&P 500,Benchmark,Validation,-1.1336114736600402,1.285074973213688,2.9806897172763605
2022-09-21,2022-09-22,^GSPC,S&P 500,Benchmark,Validation,-1.726467409850635,2.9806897172763605,0.7162734246060048
