Date,Target_Date,Ticker,Asset,Role,Split,Log_Return,Squared_Return,Target_Squared_Return
2025-01-29,2025-01-30,JPM,JPMorgan Chase,Stock,Test,-0.2098527359378154,0.0440381707805864,0.3807327045500575
2025-01-30,2025-01-31,JPM,JPMorgan Chase,Stock,Test,0.6170354159609135,0.3807327045500575,0.1206258164108262
2025-01-31,2025-02-03,JPM,JPMorgan Chase,Stock,Test,-0.347312275065,0.1206258164108262,0.0336642575302738
2025-02-03,2025-02-04,JPM,JPMorgan Chase,Stock,Test,-0.1834782208608799,0.0336642575302738,0.178612319503735
2025-02-04,2025-02-05,JPM,JPMorgan Chase,Stock,Test,0.4226255073983763,0.178612319503735,0.8556405730299502
2025-02-05,2025-02-06,JPM,JPMorgan Chase,Stock,Test,0.9250084178157246,0.8556405730299502,5.589963153728392
2025-02-06,2025-02-07,JPM,JPMorgan Chase,Stock,Test,2.364310291338341,5.589963153728392,0.1584308144541237
2025-02-07,2025-02-10,JPM,JPMorgan Chase,Stock,Test,-0.3980336850746727,0.1584308144541237,3.0309446147219714
2025-02-10,2025-02-11,JPM,JPMorgan Chase,Stock,Test,-1.7409608308982634,3.0309446147219714,2.093349143337949
2025-02-11,2025-02-12,JPM,JPMorgan Chase,Stock,Test,1.446841091252923,2.093349143337949,0.0279381039155055
2025-02-12,2025-02-13,JPM,JPMorgan Chase,Stock,Test,0.1671469530548061,0.0279381039155055,0.0994344273604105
2025-02-13,2025-02-14,JPM,JPMorgan Chase,Stock,Test,0.3153322491601684,0.0994344273604105,0.0095389868876638
2025-02-14,2025-02-18,JPM,JPMorgan Chase,Stock,Test,0.0976677371892265,0.0095389868876638,1.4580082508256853
2025-02-18,2025-02-19,JPM,JPMorgan Chase,Stock,Test,1.2074801244019238,1.4580082508256853,0.0626790746664132
2025-02-19,2025-02-20,JPM,JPMorgan Chase,Stock,Test,-0.2503578931578016,0.0626790746664132,20.801181726786268
2025-02-20,2025-02-21,JPM,JPMorgan Chase,Stock,Test,-4.560831253925787,20.801181726786268,0.9295396383201556
2025-02-21,2025-02-24,JPM,JPMorgan Chase,Stock,Test,-0.9641263601417376,0.9295396383201556,1.2178644372953031
2025-02-24,2025-02-25,JPM,JPMorgan Chase,Stock,Test,-1.1035689544814602,1.2178644372953031,2.307641323385683
2025-02-25,2025-02-26,JPM,JPMorgan Chase,Stock,Test,-1.5190922695431253,2.307641323385683,0.290063503912339
2025-02-26,2025-02-27,JPM,JPMorgan Chase,Stock,Test,0.5385754393883359,0.290063503912339,0.0100793580402587
2025-02-27,2025-02-28,JPM,JPMorgan Chase,Stock,Test,0.1003960060971486,0.0100793580402587,4.5741131326457465
2025-02-28,2025-03-03,JPM,JPMorgan Chase,Stock,Test,2.138717637428033,4.5741131326457465,2.3546463020772266
2025-03-03,2025-03-04,JPM,JPMorgan Chase,Stock,Test,-1.534485679984413,2.3546463020772266,16.485931219135107
2025-03-04,2025-03-05,JPM,JPMorgan Chase,Stock,Test,-4.0602870858025675,16.485931219135107,0.2602868076093099
2025-03-05,2025-03-06,JPM,JPMorgan Chase,Stock,Test,0.5101831118425127,0.2602868076093099,4.015236411386941
2025-03-06,2025-03-07,JPM,JPMorgan Chase,Stock,Test,-2.003805482422618,4.015236411386941,3.038103558952957
2025-03-07,2025-03-10,JPM,JPMorgan Chase,Stock,Test,-1.7430156508055104,3.038103558952957,17.985009389998044
2025-03-10,2025-03-11,JPM,JPMorgan Chase,Stock,Test,-4.2408736588111235,17.985009389998044,1.782793305398978
2025-03-11,2025-03-12,JPM,JPMorgan Chase,Stock,Test,-1.3352128314987757,1.782793305398978,0.2944323072453189
2025-03-12,2025-03-13,JPM,JPMorgan Chase,Stock,Test,-0.5426161693548386,0.2944323072453189,1.431010770166035
2025-03-13,2025-03-14,JPM,JPMorgan Chase,Stock,Test,-1.196248623893058,1.431010770166035,10.04105295675638
2025-03-14,2025-03-17,JPM,JPMorgan Chase,Stock,Test,3.168762054297605,10.04105295675638,0.4082825344730244
2025-03-17,2025-03-18,JPM,JPMorgan Chase,Stock,Test,0.6389699010697018,0.4082825344730244,0.1967804411316224
2025-03-18,2025-03-19,JPM,JPMorgan Chase,Stock,Test,0.4435994151614972,0.1967804411316224,3.050547009907385
2025-03-19,2025-03-20,JPM,JPMorgan Chase,Stock,Test,1.7465815211170033,3.050547009907385,0.0017505789582553
2025-03-20,2025-03-21,JPM,JPMorgan Chase,Stock,Test,-0.0418399206291708,0.0017505789582553,1.1886039948920673
2025-03-21,2025-03-24,JPM,JPMorgan Chase,Stock,Test,1.090231165804788,1.1886039948920673,6.897511877362152
2025-03-24,2025-03-25,JPM,JPMorgan Chase,Stock,Test,2.626311458559733,6.897511877362152,1.5128973895012996
2025-03-25,2025-03-26,JPM,JPMorgan Chase,Stock,Test,1.2299989388212087,1.5128973895012996,0.0015859816413827
2025-03-26,2025-03-27,JPM,JPMorgan Chase,Stock,Test,-0.0398243850094732,0.0015859816413827,1.3595667677248886
2025-03-27,2025-03-28,JPM,JPMorgan Chase,Stock,Test,-1.1660046173685972,1.3595667677248886,4.608924809145232
2025-03-28,2025-03-31,JPM,JPMorgan Chase,Stock,Test,-2.1468406576048515,4.608924809145232,1.007611792807399
2025-03-31,2025-04-01,JPM,JPMorgan Chase,Stock,Test,1.0037986814134592,1.007611792807399,0.4499886412250918
2025-04-01,2025-04-02,JPM,JPMorgan Chase,Stock,Test,-0.6708119268655648,0.4499886412250918,0.7789466595214254
2025-04-02,2025-04-03,JPM,JPMorgan Chase,Stock,Test,0.8825795485515316,0.7789466595214254,52.174937814832205
